name,path,remote,commit,license,languages,package_markers,test_dirs,test_files,data_fit,paper_fit,suggested_test_commands,feature_score,native_test_score,microstructure_score,agent_data_score,hardness_score,has_alpaca,has_paper_trading,has_live_trading,has_backtesting,has_csv_data,has_bar_data,has_tick_data,has_order_book,has_matching_engine,has_latency,has_queue_position,has_partial_fills,has_market_orders,has_limit_orders,has_stop_orders,has_time_in_force,has_slippage,has_fees,has_margin_short,has_calendar,has_multi_asset,has_multi_venue,has_rl_agent,has_fix
nautilus_trader,candidates\nautilus_trader,,,LGPL,"Rust:2613, Python:411","Cargo.toml, Makefile",34,317,tick/L2/L3 or generated order flow,paper/sandbox support,cargo test,45.0,20.0,21.0,5.5,65.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
freqtrade,candidates\freqtrade,,,GPL,"Python:481, JavaScript:1","pyproject.toml, requirements.txt, Dockerfile",1,142,tick/L2/L3 or generated order flow,paper/sandbox support,python -m pytest tests,38.0,20.0,14.0,5.5,58.0,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
backtrader,candidates\backtrader,,,GPL,Python:345,setup.py,1,83,tick/L2/L3 or generated order flow,"live path, paper unclear",python -m pytest tests,36.0,20.0,14.0,5.5,56.0,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
Lean,candidates\Lean,,,Apache,"C#:4314, Python:519","*.sln, Dockerfile",1,820,tick/L2/L3 or generated order flow,paper/sandbox support,dotnet test QuantConnect.Lean.sln,36.0,20.0,14.0,3.5,56.0,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
jesse,candidates\jesse,,,MIT,"Python:633, JavaScript:478","setup.py, requirements.txt, Dockerfile",1,51,tick/L2/L3 or generated order flow,paper/sandbox support,python -m pytest tests,36.0,17.85,14.0,5.5,53.85,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True
basana,candidates\basana,,,Apache,Python:185,"pyproject.toml, setup.cfg",1,60,tick/L2/L3 or generated order flow,paper/sandbox support,python -m pytest tests,34.0,19.36,14.0,3.5,53.36,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True
zipline-reloaded,candidates\zipline-reloaded,,,Apache,Python:273,"pyproject.toml, setup.py",1,95,tick/L2/L3 or generated order flow,paper/sandbox support,python -m pytest tests,31.0,20.0,9.0,5.5,51.0,False,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True
tensortrade,candidates\tensortrade,,,Apache,Python:182,"setup.py, setup.cfg, requirements.txt, Makefile, Dockerfile",1,76,tick/L2/L3 or generated order flow,backtest/local only or unknown,python -m pytest tests,30.5,20.0,12.0,5.5,50.5,False,False,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True
blankly,candidates\blankly,,,LGPL,"Python:126, C++:1","setup.py, setup.cfg",1,18,tick/L2/L3 or generated order flow,direct Alpaca/paper references,python -m pytest tests,37.0,10.61,15.0,7.5,47.61,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,True,True
rqalpha,candidates\rqalpha,,,Apache,Python:205,"pyproject.toml, setup.py",1,67,tick/L2/L3 or generated order flow,paper/sandbox support,python -m pytest tests,27.5,20.0,9.0,1.5,47.5,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,True,True,True,True,False,False,True
