run_id,adapter,baseline_adapter,status,final_equity,baseline_equity,final_cash_diff,final_position_diff,final_price_diff,equity_diff,return_diff_pct,fill_count_diff,signal_count_diff,mismatches,notes
bad_data_1m_quality_notes,reference_bar,reference_bar,baseline,100008.36354975,100008.36354975,0.0,0.0,0.0,0.0,0.0,0,0,,duplicate timestamp for SIM at 2024-01-02T14:40:00+00:00 | out-of-order timestamp for SIM at 2024-01-02T14:40:00+00:00 | invalid OHLC range for SIM at 2024-01-02T14:40:00+00:00
bad_data_1m_quality_notes,muni,reference_bar,policy_diff,100008.36354975,100008.36354975,0.0,0.0,0.0,0.0,0.0,0,0,,duplicate timestamp for SIM at 2024-01-02T14:40:00+00:00 | out-of-order timestamp for SIM at 2024-01-02T14:40:00+00:00 | invalid OHLC range for SIM at 2024-01-02T14:40:00+00:00
churn_noise_1m_flip_5_high_cost,reference_bar,reference_bar,baseline,99499.87639896448,99499.87639896448,0.0,0.0,0.0,0.0,0.0,0,0,,
churn_noise_1m_flip_5_high_cost,muni,reference_bar,match,99499.87639896448,99499.87639896448,0.0,0.0,0.0,0.0,0.0,0,0,,
gap_open_1m_scheduled_entry_exit,reference_bar,reference_bar,baseline,100017.77346196736,100017.77346196736,0.0,0.0,0.0,0.0,0.0,0,0,,
gap_open_1m_scheduled_entry_exit,muni,reference_bar,match,100017.77346196736,100017.77346196736,0.0,0.0,0.0,0.0,0.0,0,0,,
last_bar_signal_no_next_fill,reference_bar,reference_bar,baseline,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0,,
last_bar_signal_no_next_fill,muni,reference_bar,match,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0,0,,
liquidity_zero_volume_defer,reference_bar,reference_bar,baseline,100010.53085817069,100010.53085817069,0.0,0.0,0.0,0.0,0.0,0,0,,"zero-volume bar for SIM at 2024-01-02T15:07:00+00:00 | irregular timestamp gap for SIM before 2024-01-02T15:24:00+00:00: expected 0:01:00, got 0:02:00 | zero-volume bar for SIM at 2024-01-02T15:44:00+00:00"
liquidity_zero_volume_defer,muni,reference_bar,match,100010.53085817069,100010.53085817069,0.0,0.0,0.0,0.0,0.0,0,0,,"zero-volume bar for SIM at 2024-01-02T15:07:00+00:00 | irregular timestamp gap for SIM before 2024-01-02T15:24:00+00:00: expected 0:01:00, got 0:02:00 | zero-volume bar for SIM at 2024-01-02T15:44:00+00:00"
partial_volume_1m_scheduled_100,reference_bar,reference_bar,baseline,99971.29490073772,99971.29490073772,0.0,0.0,0.0,0.0,0.0,0,0,,"partial volume-limited fill at 2024-01-02T14:31:00+00:00: requested 100.00000000, filled 25.00000000 | partial volume-limited fill at 2024-01-02T14:32:00+00:00: requested 75.00000000, filled 25.00000000 | partial volume-limited fill at 2024-01-02T14:33:00+00:00: requested 50.00000000, filled 25.00000000"
partial_volume_1m_scheduled_100,muni,reference_bar,match,99971.29490073772,99971.29490073772,0.0,0.0,0.0,0.0,0.0,0,0,,"partial volume-limited fill at 2024-01-02T14:31:00+00:00: requested 100.00000000, filled 25.00000000 | partial volume-limited fill at 2024-01-02T14:32:00+00:00: requested 75.00000000, filled 25.00000000 | partial volume-limited fill at 2024-01-02T14:33:00+00:00: requested 50.00000000, filled 25.00000000"
short_round_trip_scheduled,reference_bar,reference_bar,baseline,99954.47283678205,99954.47283678205,0.0,0.0,0.0,0.0,0.0,0,0,,
short_round_trip_scheduled,muni,reference_bar,match,99954.47283678205,99954.47283678205,0.0,0.0,0.0,0.0,0.0,0,0,,
